date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:25:12	274469/274469	---M--	200	added ('OK')	image/jpeg	etag:CNHUsLCz5+4CEAE=	https://images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613237864525-FRZ3WOPQVR4GOIHC5YIO/20180427_ME_ESPN_BreannaStewart_03_0368.jpg?format=1500w&content-type=image%2Fjpeg	E:/waheed/project_website/images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613237864525-FRZ3WOPQVR4GOIHC5YIO/20180427_ME_ESPN_BreannaStewart_03_036843a3.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
19:25:12	6009/6009	---M--	200	added ('OK')	image/jpeg	etag:CP2IpbD8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263653696-KZ2WK9CT17NKLVUW2KVJ/20180427_ME_ESPN_BreannaStewart_04_0540.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263653696-KZ2WK9CT17NKLVUW2KVJ/20180427_ME_ESPN_BreannaStewart_04_05409f6a.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
19:25:12	5784/5784	---M--	200	added ('OK')	image/jpeg	etag:CIb45bP8x+sCEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263651572-MAVAXP1N6Z8H09Z228S4/20180427_ME_ESPN_BreannaStewart_04_0571.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1590263651572-MAVAXP1N6Z8H09Z228S4/20180427_ME_ESPN_BreannaStewart_04_05719f6a.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
19:25:14	33074/33074	---M--	200	added ('OK')	image/jpeg	etag:CNOe9tyz5+4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613237957341-K3XDCT90ZZ2Q4TSZ1GHU/20180427_ME_ESPN_BreannaStewart_01_0190.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613237957341-K3XDCT90ZZ2Q4TSZ1GHU/20180427_ME_ESPN_BreannaStewart_01_01909f6a.jpg	(from https://themarcus.com/portfolio/breanna-stewart)
19:25:14	0/0	---M--	301	error ('Moved%20Permanently')	image/jpeg	date:Thu,%2027%20Oct%202022%2014:25:30%20GMT	http://static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/6028cfcb2b78c46e842a39a1/1613287621520/2014_ME_Kaepernick_2888-1.jpg?format=1500w	E:/waheed/project_website/static1.squarespace.com/static/5e8f5d9bae8f137fbc83492a/5e8f5e1e8efd1f069d7a959a/6028cfcb2b78c46e842a39a1/1613287621520/2014_ME_Kaepernick_2888-126f7.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:14	29795/29795	---M--	200	added ('OK')	image/jpeg	etag:CLWo4Kvt6O4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287782431-KCKW0NWJB19WZQC0ZWAC/2014_ME_Kaepernick_0737-v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287782431-KCKW0NWJB19WZQC0ZWAC/2014_ME_Kaepernick_0737-v29f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:14	743144/743144	---M--	200	added ('OK')	image/jpeg	etag:CLm28dns6O4CEAE=	https://images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613287610443-HVS33M6AJQSZ0PCLWS68/2014_ME_Kaepernick_2888-1.jpg?format=1500w&content-type=image%2Fjpeg	E:/waheed/project_website/images.squarespace-cdn.com/content/5e8f5d9bae8f137fbc83492a/1613287610443-HVS33M6AJQSZ0PCLWS68/2014_ME_Kaepernick_2888-143a3.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:15	35306/35306	---M--	200	added ('OK')	image/jpeg	etag:CPqQ36nt6O4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287776681-16DK87R2YBUBUFZ603UP/Su15_01-v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287776681-16DK87R2YBUBUFZ603UP/Su15_01-v29f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:15	28668/28668	---M--	200	added ('OK')	image/jpeg	etag:CMy84Kzt6O4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287785276-18NLEOTYHLM2JLRTHY53/2014_ME_Kaepernick_0813-V2_1.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287785276-18NLEOTYHLM2JLRTHY53/2014_ME_Kaepernick_0813-V2_19f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
19:25:15	34889/34889	---M--	200	added ('OK')	image/jpeg	etag:CLaS5K3t6O4CEAE=	https://images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287787184-ZYCIDYSWOH27X96WS613/2014_ME_Kaepernick_0815-v2.jpg?format=50w	E:/waheed/project_website/images.squarespace-cdn.com/content/v1/5e8f5d9bae8f137fbc83492a/1613287787184-ZYCIDYSWOH27X96WS613/2014_ME_Kaepernick_0815-v29f6a.jpg	(from https://themarcus.com/portfolio/colin-kaepernick)
